Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1713405984.0,0,0,626.5,26.787226562500003,76.31941658401357,868.1320091407665,1374.6685763101784,907120.5
1713405986.01,0,0,47.5,19.21720703125,52.66919567747321,1010.069592985055,26.512774960270853,120928.0
1713405987.98,0,0,47.5,19.31037109375,52.62108188846854,1010.0699211172987,26.51003605735196,156002.0
1713405990.02,0,0,42.5,19.31037109375,52.62108188846854,1010.0699211172987,26.51003605735196,156002.0
1713405992.03,0,0,41.0,19.38732421875,52.53623678504754,1010.0690434229232,26.517362119832306,180637.5
1713405994.01,0,0,41.5,19.42716796875,52.449872073628285,1010.0651349107543,26.549986158537603,198571.0
1713405995.99,0,0,38.5,19.45802734375,52.36870317472565,1010.0613881122954,26.581260464163755,210485.0
1713405997.98,0,0,38.5,19.4801953125,52.39988513623689,1010.0837408296408,26.394685115840673,217864.5
1713406000.0,0,0,42.5,19.50705078125,52.40326765152015,1010.1023783369292,26.23912242336608,222961.5
1713406002.0,0,0,50.0,19.53458984375,52.34059441669396,1010.111603630345,26.162122039565517,227552.5
1713406003.99,0,0,42.5,19.553730468749997,52.31466714329575,1010.1281053254394,26.024389580641248,228905.0
1713406005.99,0,0,44.5,19.5661328125,52.30993802710498,1010.1431997652071,25.898404397762338,233908.0
1713406007.99,0,0,44.5,19.5844921875,52.27446928777859,1010.1496396966177,25.844654216588822,236046.0
1713406010.0,0,0,40.5,19.60470703125,52.23294368754569,1010.1643917168637,25.72152915716705,241203.5
1713406012.01,0,0,43.5,19.6048046875,52.16684985013549,1010.1706969258869,25.668904286979696,241460.5
1713406014.02,0,0,46.5,19.58400390625,52.10128767718923,1010.1734166654292,25.646204747017617,245113.0
1713406015.98,0,0,46.5,19.52853515625,52.06912130141728,1010.17539304465,25.62970948612974,246679.0
1713406018.0,0,0,35.0,19.46818359375,52.07094829522986,1010.1658275824341,25.7095450632283,249151.0
1713406020.0,0,0,41.0,19.39337890625,52.089829264430065,1010.1588417068872,25.767851106169598,251405.5
