Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1713417549.89,0,0,45.0,23.1063671875,38.23750151577512,1004.7072678929154,71.36809529708955,366140.0
1713417551.86,0,0,41.0,23.024042968750003,39.71151084626369,1004.8354314488658,70.29381560557044,226604.0
1713417553.86,0,0,33.0,22.9544140625,40.893803989076815,1005.22772229212,67.00608133661399,88307.0
1713417555.86,0,0,28.5,22.97384765625,40.644435570462775,1005.4596274003122,65.0630157247451,123048.5
1713417557.87,0,0,36.5,23.01427734375,40.39471087172975,1005.5951399165363,63.927765894510294,151215.0
1713417559.85,0,0,36.5,23.062421875,40.11669061974502,1005.658509911595,63.39692989807777,174840.0
1713417561.86,0,0,35.0,23.10265625,39.855941466266955,1005.709885390319,62.96658974736664,200557.0
1713417563.82,0,0,35.5,23.10265625,39.855941466266955,1005.709885390319,62.96658974736664,200557.0
1713417565.89,0,0,32.0,23.1227734375,39.64928082676248,1005.7276303658525,62.81795545365263,217368.5
1713417567.86,0,0,32.0,23.12482421875,39.50263344519196,1005.7380286947052,62.73085861900276,232848.5
1713417569.86,0,0,28.5,23.118281250000003,39.41096414791713,1005.7432627281794,62.68701844901523,244971.5
1713417571.86,0,0,39.0,23.09953125,39.321003718884,1005.7436270621092,62.683966801355744,254941.0
1713417573.86,0,0,34.5,23.08185546875,39.24293793242258,1005.7457385998359,62.66628068035472,265144.5
1713417575.86,0,0,28.5,23.07150390625,39.197901428161906,1005.7438884539575,62.68177739809134,274859.5
1713417577.91,0,0,28.5,23.07453125,39.133771048819014,1005.75058158272,62.625716177696106,280411.0
1713417579.86,0,0,40.5,23.04669921875,39.06353433940268,1005.7449806316665,62.67262936650755,287823.5
1713417581.86,0,0,37.0,23.0149609375,38.94611668352035,1005.7427230051268,62.69153921389345,295541.5
1713417583.86,0,0,42.0,22.9794140625,38.933663238288446,1005.7430836075562,62.688518758670554,301676.0
1713417585.84,0,0,42.0,22.960468749999997,38.86152821101527,1005.7519410952574,62.6143290827952,307000.0
1713417587.87,0,0,41.5,22.947382812500003,38.784191514311004,1005.7544562036826,62.593262720809975,309866.0
1713417589.86,0,0,44.0,22.945917968750003,38.737297260077284,1005.7547179288533,62.59107054437587,311539.0
1713417591.86,0,0,29.5,22.942402343749997,38.72817240011532,1005.7498759505991,62.63162648630697,314916.5
1713417593.86,0,0,36.5,22.916523437499997,38.7225867754755,1005.7509689118443,62.62247194940146,317650.0
1713417595.84,0,0,36.5,22.888203125,38.737194963590724,1005.7551407629992,62.587528946455194,322510.0
1713417597.89,0,0,29.5,22.85294921875,38.756931134805036,1005.7489003185443,62.63979830574509,324920.5
1713417599.86,0,0,36.0,22.8348828125,38.79888846305356,1005.7538840535582,62.59805502401653,326445.0
1713417601.86,0,0,27.0,22.828632812499997,38.79240138114228,1005.7613484932695,62.53553382923654,330167.5
1713417603.88,0,0,34.0,22.81388671875,38.843476125264424,1005.7532128056408,62.603677290430944,331898.0
1713417605.84,0,0,34.0,22.79328125,38.905652451358094,1005.7567040414247,62.57443509820583,333176.0
1713417607.86,0,0,24.0,22.77853515625,38.9772324201662,1005.7538589077194,62.59826562722307,333978.0
1713417609.86,0,0,36.0,22.776484375,39.05307653195575,1005.7593394869473,62.5523610192632,333329.0
1713417611.82,0,0,38.0,22.776484375,39.05307653195575,1005.7593394869473,62.5523610192632,333329.0
1713417613.85,0,0,38.0,22.760078125,39.077713602416324,1005.7617274502511,62.53235974557864,337044.5
1713417615.86,0,0,34.0,22.73625,39.0430596596228,1005.7555548812928,62.58406032265415,337863.5
1713417617.87,0,0,37.0,22.71369140625,39.05535396563371,1005.7576214003393,62.566751482004385,338685.0
1713417619.86,0,0,32.0,22.68263671875,39.07262096753102,1005.7546669834462,62.59149730154304,340508.5
1713417621.86,0,0,31.0,22.661640624999997,39.13190796002439,1005.7557454951498,62.582463766889674,339180.5
1713417623.84,0,0,31.0,22.6434765625,39.302809488666696,1005.7570254854063,62.571742724316586,340844.0
1713417625.87,0,0,34.0,22.620624999999997,39.48219146305831,1005.7568415245885,62.57328356282984,341177.0
1713417627.88,0,0,37.0,22.597578125,39.57660827043617,1005.7581006137812,62.56273759490594,342860.0
1713417629.86,0,0,29.0,22.55880859375,39.59310148665216,1005.7593163884771,62.552554432461534,346444.5
1713417631.84,0,0,29.0,22.509296874999997,39.53804570495158,1005.7580144463259,62.563459321659494,350283.0
1713417633.86,0,0,38.0,22.4565625,39.485613802983565,1005.7523332134298,62.61104470005722,350106.5
1713417635.87,0,0,44.0,22.4098828125,39.46609045255108,1005.747690018331,62.6499358078477,349580.0
1713417637.87,0,0,31.5,22.37873046875,39.64476142374735,1005.7454178426265,62.66896732091503,347309.5
1713417639.86,0,0,35.0,22.36505859375,39.960621506007165,1005.7495866899026,62.63404931884173,347310.0
1713417641.84,0,0,35.0,22.3626171875,40.04567168458151,1005.7535420807064,62.600919319062264,347309.5
1713417643.86,0,0,30.5,22.365351562500003,40.12837331433515,1005.7535899322149,62.600518516848425,346274.0
1713417645.86,0,0,39.5,22.372675781250003,40.18509360740114,1005.7487753479139,62.640845046224285,349228.5
1713417647.87,0,0,36.0,22.3798046875,40.20940965563763,1005.7489311467347,62.63954008571798,350285.5
1713417649.86,0,0,32.5,22.38009765625,40.18882241734034,1005.7414750444814,62.70199203554543,353847.0
1713417651.87,0,0,32.5,22.389375,40.15446294055676,1005.7495384370325,62.63445347765855,351524.0
1713417653.86,0,0,33.0,22.3971875,40.10817818872471,1005.7463998938773,62.66074173718059,353490.0
1713417655.87,0,0,37.5,22.40626953125,40.08852947875546,1005.7550261775953,62.58848868864024,353129.5
1713417657.87,0,0,33.0,22.406953125,40.118041018864645,1005.7552583978231,62.5865436696255,354931.5
1713417659.8,0,0,33.0,22.406953125,40.118041018864645,1005.7552583978231,62.5865436696255,354931.5
1713417661.86,0,0,38.0,22.39962890625,40.18499539083247,1005.7521406027897,62.612657957265746,356568.5
1713417663.86,0,0,38.0,22.3977734375,40.226037817586004,1005.7464730192569,62.66012920093219,355845.5
1713417665.88,0,0,33.5,22.39455078125,40.272841180197176,1005.7491560980725,62.63765591123034,356020.5
1713417667.87,0,0,30.0,22.39787109375,40.373418528875675,1005.7483951566212,62.644029508650696,354571.5
1713417669.85,0,0,30.0,22.398359375,40.42360575079746,1005.7535982822336,62.600448577261076,354392.0
1713417671.86,0,0,32.0,22.40529296875,40.35061664264092,1005.755198148769,62.587048281351784,350283.0
1713417673.86,0,0,38.5,22.413984375,40.277844152614136,1005.7526094556335,62.60873089961302,351700.0
1713417675.86,0,0,41.5,22.41779296875,40.26645870660485,1005.7552883551283,62.586292717293624,351526.5
1713417677.87,0,0,27.5,22.4387890625,40.24510623148272,1005.7498251594939,62.632051904203294,350461.0
1713417679.84,0,0,27.5,22.46349609375,40.23593370866021,1005.7539317305917,62.59765565365167,351171.0
1713417681.85,0,0,35.0,22.48673828125,40.23544625550792,1005.7635842766445,62.51680728252772,351345.0
1713417683.86,0,0,36.5,22.5055859375,40.21386868054543,1005.7572594083067,62.56978346131305,352591.0
1713417685.86,0,0,33.0,22.515156249999997,40.17658295302486,1005.7525715779025,62.609048152344684,353850.0
1713417687.84,0,0,33.0,22.52326171875,40.13620576172217,1005.7525504015599,62.609225519205786,354210.0
1713417689.86,0,0,34.0,22.523554687500003,40.12740212460091,1005.7556726620523,62.583073812602166,359332.5
1713417691.86,0,0,34.5,22.505000000000003,40.116609328029085,1005.7527781821568,62.60731765684446,361384.5
1713417693.86,0,0,30.0,22.491230468749997,40.059222785846146,1005.7515063811074,62.61797014206927,361948.5
1713417695.86,0,0,34.0,22.49044921875,40.01793788623263,1005.7519969788766,62.61386099080089,364414.0
1713417697.87,0,0,34.0,22.49171875,40.0004166594853,1005.7514202261843,62.618691791678906,365371.0
1713417699.86,0,0,33.0,22.48947265625,39.985469322090346,1005.7548142727951,62.59026357499011,363654.0
1713417701.85,0,0,36.0,22.47599609375,39.936987638765956,1005.753137104003,62.60431140451238,363465.0
1713417703.86,0,0,39.5,22.456953125,39.89675740052151,1005.7494434676047,62.6352489455783,366719.5
1713417705.87,0,0,38.5,22.44787109375,39.86934331672949,1005.754042508597,62.59672778684671,366333.0
1713417707.83,0,0,38.5,22.45158203125,39.84033872763882,1005.7530355417919,62.60516206428331,364033.0
1713417709.83,0,0,40.0,22.45158203125,39.84033872763882,1005.7530355417919,62.60516206428331,364033.0
1713417711.86,0,0,39.5,22.44279296875,39.77770793357995,1005.7545850934746,62.59218315624718,364796.0
1713417713.86,0,0,39.5,22.4204296875,39.819437257929714,1005.7542948339392,62.59461434220347,375798.5
1713417715.84,0,0,39.5,22.4001171875,39.78792515483817,1005.7423578576831,62.69459761601192,389101.0
1713417717.86,0,0,33.5,22.37580078125,39.75893961868597,1005.7432890077667,62.68679834435069,390388.0
1713417719.86,0,0,42.5,22.35197265625,39.759381977793666,1005.746775938695,62.65759197328792,390179.0
1713417721.86,0,0,37.5,22.32482421875,39.87701271326692,1005.7483757345328,62.64419219073299,388030.5
1713417723.86,0,0,31.0,22.29845703125,40.07128761073106,1005.7441940156777,62.67921802304002,389425.5
1713417725.85,0,0,31.0,22.27853515625,40.13099505548469,1005.7469868241781,62.65582560060503,390601.5
1713417727.86,0,0,34.5,22.2716015625,40.12143358092648,1005.7453834298367,62.669255544955455,388991.0
1713417729.86,0,0,38.0,22.26212890625,40.13809730097039,1005.732591796756,62.77639819103263,388348.5
1713417731.86,0,0,39.0,22.25373046875,40.110720799716674,1005.7303637430975,62.795060463441644,388137.5
1713417733.85,0,0,39.0,22.235078125,40.08226939875537,1005.7378652341606,62.732227776837206,388455.5
1713417735.86,0,0,43.0,22.20998046875,40.04432163660337,1005.7445555680497,62.67618967613693,388775.5
1713417737.89,0,0,43.5,22.193964843750003,40.01910514437403,1005.7448934443032,62.673359743170785,389310.5
1713417739.86,0,0,29.5,22.1727734375,40.01687858519332,1005.7500135773358,62.63047374925135,389740.0
1713417741.86,0,0,28.0,22.14591796875,40.07289004295215,1005.7467814392951,62.65754591024205,391358.5
1713417743.84,0,0,28.0,22.12150390625,40.11740723901519,1005.752812428846,62.60703080509896,393648.5
1713417745.86,0,0,39.0,22.1071484375,40.15120864095324,1005.7479195204578,62.648013438626535,392339.5
1713417747.86,0,0,36.5,22.08419921875,40.192948420354426,1005.7475221771715,62.6513415903824,392670.5
1713417749.86,0,0,36.5,22.0661328125,40.22932112491907,1005.7418655015972,62.69872169275824,392009.5
1713417751.86,0,0,34.5,22.05822265625,40.25499138414055,1005.7333780485312,62.769812523640326,392227.5
1713417753.85,0,0,34.5,22.046503906250003,40.300883372807846,1005.7336606923841,62.76744506962638,392450.5
1713417755.86,0,0,37.0,22.03595703125,40.343964351747545,1005.7288045656585,62.80812020685459,392993.0
1713417757.86,0,0,27.5,22.031171875,40.3906120039748,1005.7280532699965,62.81441310752781,393429.5
1713417759.82,0,0,25.0,22.031171875,40.3906120039748,1005.7280532699965,62.81441310752781,393429.5
1713417761.86,0,0,25.0,22.0190625,40.424704804121106,1005.7259357941143,62.8321492425862,392446.0
1713417763.86,0,0,40.5,22.00412109375,40.39659433855864,1005.7200826882971,62.88117548086936,394967.0
1713417765.86,0,0,38.0,21.99787109375,40.499130912086756,1005.7231099399852,62.85581885279439,395187.5
1713417767.86,0,0,33.0,21.9942578125,40.56364354892532,1005.7286729009866,62.80922305526309,396630.0
1713417769.86,0,0,29.0,21.9954296875,40.596226732927086,1005.7332259750959,62.771086273970084,396074.0
