co2,time
480.562744140625,0.014532089233398438
481.2725524902344,2.030496597290039
486.5159912109375,4.047950983047485
511.2023010253906,6.063992023468018
508.5756530761719,8.080317258834839
517.8582763671875,10.096394062042236
497.96917724609375,12.112388610839844
452.28607177734375,14.128382682800293
419.46563720703125,16.144370317459106
360.6888732910156,18.16035509109497
400.38861083984375,20.1767418384552
401.92791748046875,22.19277834892273
447.06719970703125,24.20881223678589
668.7867431640625,26.22504734992981
683.3095092773438,28.239816427230835
637.5799560546875,30.255895137786865
781.0613403320312,32.2957820892334
745.8361206054688,34.34251046180725
735.65673828125,36.39710307121277
767.3765869140625,38.45812678337097
788.8455200195312,40.50407671928406
799.8638305664062,42.562336683273315
735.7772827148438,44.614623069763184
688.9688720703125,46.66651248931885
578.6875,48.714229583740234
437.7674865722656,50.77090096473694
408.8719482421875,52.82068705558777
346.22552490234375,54.872440338134766
388.35137939453125,56.93003749847412
504.757080078125,58.98179316520691
542.5885620117188,61.034688234329224
562.8782348632812,63.08785891532898
541.3510131835938,65.13956117630005
497.9232177734375,67.19722843170166
460.4739990234375,69.25124955177307
473.4142150878906,71.304931640625
460.78497314453125,73.3567042350769
566.9965209960938,75.40846967697144
585.5119018554688,77.46045517921448
543.9432983398438,79.51543760299683
601.2725830078125,81.56809449195862
739.7984008789062,83.61991858482361
756.4581909179688,85.67245697975159
579.3578491210938,87.72440075874329
569.7106323242188,89.78209018707275
493.5856628417969,91.83410429954529
395.4431457519531,93.88577675819397
489.7834777832031,95.93752217292786
399.3710021972656,97.98863697052002
432.8962707519531,100.04135632514954
444.305908203125,102.09458327293396
467.7451477050781,104.15072393417358
489.0187683105469,106.20251846313477
561.6473999023438,108.25472855567932
587.7124633789062,110.30632472038269
528.2704467773438,112.36273407936096
512.90380859375,114.41476941108704
509.2235412597656,116.46650528907776
490.720947265625,118.5182716846466
448.1147155761719,120.57102465629578
441.0394287109375,122.62529015541077
422.7727966308594,124.67955613136292
410.0221252441406,126.73299908638
427.04998779296875,128.78470993041992
468.22998046875,130.83646774291992
467.32305908203125,132.8887152671814
507.3581848144531,134.9404900074005
580.0917358398438,136.98600459098816
595.3875732421875,139.0376751422882
598.3529663085938,141.09067916870117
643.92822265625,143.14682364463806
602.0029907226562,145.1989243030548
572.0119018554688,147.25134801864624
533.3407592773438,149.3031177520752
502.9703674316406,151.35503005981445
568.9312744140625,153.40084052085876
679.4508056640625,155.45276045799255
621.6438598632812,157.50732588768005
578.689208984375,159.55911445617676
554.9362182617188,161.61271047592163
588.247802734375,163.65821385383606
550.2127685546875,165.70943069458008
565.13330078125,167.7633376121521
596.822509765625,169.81547927856445
589.5241088867188,171.86306428909302
577.3142700195312,173.91479802131653
582.34521484375,175.9650239944458
569.2935180664062,178.0167224407196
554.2308349609375,180.06887364387512
