co2,time
1098.01953125,0.01399850845336914
988.1160278320312,2.029618978500366
798.90283203125,4.0453808307647705
863.2909545898438,6.061025619506836
889.0613403320312,8.07694411277771
858.2456665039062,10.09305453300476
781.4996337890625,12.109328508377075
660.4295043945312,14.125468969345093
564.9286499023438,16.141124963760376
435.4643249511719,18.156795740127563
523.5465087890625,20.17254900932312
542.7824096679688,22.18833827972412
572.2118530273438,24.203993320465088
567.6133422851562,26.21960997581482
625.868408203125,28.235424518585205
676.1510009765625,30.251025676727295
649.8223876953125,32.26669526100159
594.5850219726562,34.282328605651855
515.7749633789062,36.29688835144043
555.4603271484375,38.31336188316345
619.5440673828125,40.327797174453735
623.6445922851562,42.343387842178345
643.2998657226562,44.35894250869751
618.4265747070312,46.374000787734985
614.9945068359375,48.389636754989624
543.8275756835938,50.40523314476013
500.430419921875,52.420851945877075
630.03515625,54.43650841712952
609.5059204101562,56.45218801498413
537.4957275390625,58.467793703079224
503.7884521484375,60.48342156410217
540.8521728515625,62.4990496635437
594.6132202148438,64.51468896865845
635.7348022460938,66.53052735328674
559.0211181640625,68.54650449752808
475.8990173339844,70.56127953529358
449.6456298828125,72.57762742042542
524.2282104492188,74.59331154823303
447.65234375,76.60927295684814
518.1173095703125,78.62528204917908
510.3095397949219,80.64134192466736
551.1358642578125,82.65736937522888
565.9325561523438,84.67338585853577
597.439208984375,86.68932056427002
553.8426513671875,88.7052390575409
445.10247802734375,90.72122764587402
434.1020202636719,92.73723554611206
596.8504638671875,94.75330901145935
772.5606079101562,96.76931238174438
739.7794189453125,98.7852873802185
714.4186401367188,100.8012752532959
688.6405639648438,102.81763315200806
617.87353515625,104.83364820480347
584.1653442382812,106.84986758232117
554.0181274414062,108.86588859558105
576.279541015625,110.88189196586609
598.6851196289062,112.89821028709412
586.9851684570312,114.91442322731018
590.8875122070312,116.92961812019348
575.8324584960938,118.94602680206299
545.8358764648438,120.96153998374939
567.3076171875,122.97761368751526
563.827392578125,124.99422359466553
572.622314453125,127.00950884819031
576.4580688476562,129.02551078796387
539.8886108398438,131.04149961471558
530.3521728515625,133.05775713920593
495.6038818359375,135.08858561515808
496.9603576660156,137.13446426391602
551.1297607421875,139.18026494979858
563.8763427734375,141.2322256565094
577.842529296875,143.2782142162323
694.1292114257812,145.32996320724487
811.8192749023438,147.37580561637878
847.122314453125,149.42166137695312
780.2850952148438,151.4671859741211
771.8038330078125,153.5173420906067
767.4598388671875,155.5634207725525
729.4260864257812,157.60919094085693
704.7467041015625,159.65507745742798
649.7833862304688,161.70097041130066
566.09912109375,163.74678993225098
617.2601318359375,165.79295945167542
605.312255859375,167.8390543460846
651.2193603515625,169.88492012023926
584.8978271484375,171.93074917793274
640.6400146484375,173.9825837612152
483.9246826171875,176.02335691452026
237.1329803466797,178.06928610801697
523.6676635742188,180.11581826210022
