Start,Length,Counts
1710973797.917822,10.000001907348633,8
1710973807.918588,10.000000953674316,4
1710973817.9192939,10.000001668930054,10
1710973827.9200537,10.000001668930054,4
1710973837.9207988,10.000001192092896,8
1710973847.9215262,10.000001668930054,4
1710973857.9222567,10.000001430511475,8
1710973867.9230642,10.000001668930054,14
1710973877.9237864,10.000001430511475,11
1710973887.924548,10.000000715255737,4
1710973897.9252768,10.000000715255737,8
1710973907.9260297,10.000001192092896,10
