Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1713404472.81,0,0,630.5,28.3880078125,74.47410004402323,867.8993480010686,1376.6109391536568,192063.0
1713404474.82,0,0,36.5,22.422871093749997,48.82342331617893,1009.6038265739141,30.401208316581958,77693.0
1713404476.78,0,0,36.5,22.5157421875,48.59009659119263,1009.6084486835409,30.36261370028015,108018.0
1713404478.81,0,0,43.0,22.5946484375,48.333668428333795,1009.6078387791104,30.367706381931995,125781.0
1713404480.79,0,0,31.5,22.5946484375,48.333668428333795,1009.6078387791104,30.367706381931995,125781.0
1713404482.79,0,0,33.5,22.656269531249997,48.115597620942076,1009.6045192499607,30.395424453868152,137369.0
1713404484.79,0,0,36.0,22.701875,47.93901468920521,1009.5988150336741,30.44305491824248,144344.0
1713404486.78,0,0,36.0,22.739375,47.80168535817309,1009.591317934868,30.50565623628783,150152.5
1713404488.8,0,0,26.5,22.77267578125,47.691675128964945,1009.6016490241113,30.419390910216848,154752.0
1713404490.82,0,0,32.0,22.80265625,47.57516737434287,1009.6065487540338,30.378478085117948,158068.5
1713404492.79,0,0,38.5,22.827753906250003,47.46429045930843,1009.6122858455325,30.330573466257515,161530.0
1713404494.8,0,0,28.0,22.846015625,47.343424483214626,1009.6094935825431,30.353888807890613,164234.0
1713404496.79,0,0,28.0,22.864375,47.241089780745824,1009.6183285946497,30.280116825364633,166393.5
1713404498.81,0,0,35.0,22.8829296875,47.154197826090595,1009.6160122128603,30.299458517099637,167973.5
1713404500.82,0,0,28.0,22.89982421875,47.07636033460015,1009.6171568108296,30.28990124180565,168694.5
1713404502.8,0,0,36.0,22.9133984375,47.01350505889947,1009.6119911560472,30.333034125260752,170894.5
1713404504.78,0,0,36.0,22.92521484375,46.947390017564544,1009.6013045035595,30.42226778996948,170729.5
1713404506.8,0,0,28.0,22.93576171875,46.89035058805591,1009.6017773452015,30.418319425930676,172142.0
1713404508.8,0,0,36.0,22.94572265625,46.857797589548284,1009.594233115221,30.481314201161236,173152.5
1713404510.82,0,0,33.5,22.9591015625,46.80112446022537,1009.5940389492827,30.48293556872239,173408.0
1713404512.8,0,0,35.5,22.97189453125,46.76892561370502,1009.5981807958414,30.4483507892877,174519.5
1713404514.78,0,0,35.5,22.98322265625,46.73655576897781,1009.6025754065697,30.411655586362627,174607.0
1713404516.8,0,0,33.5,22.99376953125,46.704098110049316,1009.5986333827649,30.444571654914864,175297.5
1713404518.8,0,0,31.5,23.003046875000003,46.68681761747129,1009.5970282922249,30.45797426121898,175471.0
1713404520.82,0,0,34.0,23.0141796875,46.672824998819806,1009.5861004834285,30.549222627015936,175821.5
1713404522.8,0,0,35.0,23.028046875,46.668353668077806,1009.5858174870807,30.551585653155385,174692.5
1713404524.82,0,0,35.0,23.04025390625,46.66674878798766,1009.5845856929504,30.561871375353306,174951.0
1713404526.8,0,0,31.5,23.054707031249997,46.68380119767153,1009.569373191277,30.688898805888776,174865.0
1713404528.78,0,0,36.5,23.054707031249997,46.68380119767153,1009.569373191277,30.688898805888776,174865.0
1713404530.81,0,0,27.0,23.06896484375,46.66405266781186,1009.5706081852425,30.6785863827653,175733.0
1713404532.82,0,0,34.0,23.0798046875,46.631639647161265,1009.576847829872,30.62648384434616,175735.0
1713404534.77,0,0,34.0,23.09318359375,46.60259901244973,1009.5695846706899,30.68713286183457,175559.5
1713404536.81,0,0,36.0,23.10919921875,46.58919443550967,1009.5666287315807,30.711815722093036,175472.0
1713404538.8,0,0,32.5,23.12375,46.569488996199325,1009.5762824246144,30.631205163206623,175384.5
1713404540.8,0,0,37.0,23.136347656250003,46.52811323709862,1009.5827443180783,30.577247103021246,176435.0
1713404542.78,0,0,37.0,23.1440625,46.486162180091405,1009.5891714046245,30.52358017683747,177052.0
1713404544.8,0,0,34.5,23.14962890625,46.43172111747451,1009.5841441705509,30.565558143201038,177674.5
1713404546.8,0,0,29.0,23.15626953125,46.37742377618264,1009.5914637368925,30.50443878606675,178752.0
1713404548.8,0,0,27.5,23.16232421875,46.310836987294806,1009.5934125729307,30.488165806434182,178842.5
1713404550.8,0,0,33.0,23.16916015625,46.271888862459704,1009.5966377489353,30.461235325509804,178933.5
1713404552.81,0,0,33.0,23.17755859375,46.233134604138215,1009.5935889048708,30.48669343293964,178662.0
1713404554.79,0,0,42.0,23.1864453125,46.228075334530786,1009.5939855131327,30.48338170632569,179386.0
1713404556.8,0,0,34.0,23.1962109375,46.217006030328555,1009.5958177809617,30.468082113138195,178302.5
1713404558.8,0,0,38.0,23.203828125,46.20262514226009,1009.5985531153237,30.445241890842468,178842.0
1713404560.78,0,0,38.0,23.21212890625,46.18526910396141,1009.5988741896788,30.442560905480388,179842.5
1713404562.8,0,0,29.0,23.22052734375,46.15570046761941,1009.5958235535115,30.468033916216278,179023.0
1713404564.8,0,0,36.5,23.22990234375,46.14458833539716,1009.5952507595047,30.472816800352746,179299.0
1713404566.8,0,0,26.0,23.23810546875,46.121113951035085,1009.5980595926876,30.44936285278739,179388.0
1713404568.8,0,0,35.5,23.2442578125,46.11267685560469,1009.5895727715838,30.520228611514334,178932.5
1713404570.78,0,0,35.5,23.250507812499997,46.085920374342464,1009.5856590897795,30.552908340935943,176810.0
1713404572.79,0,0,36.5,23.25578125,46.06210437048273,1009.5916260122779,30.50308377470415,170897.5
1713404574.8,0,0,33.0,23.265156249999997,46.03266952903856,1009.5892860242748,30.522622915290963,170731.5
1713404576.77,0,0,34.5,23.265156249999997,46.03266952903856,1009.5892860242748,30.522622915290963,170731.5
