Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1713400663.59,0,0,694.5,27.39572265625,75.88325879810064,866.4072019515046,1389.0853258154002,39516.5
1713400665.63,0,0,38.5,20.40373046875,51.704931762972095,1006.6151781084552,55.386448298870455,32073.5
1713400667.57,0,0,42.0,20.43888671875,51.58057874783993,1006.6190291731408,55.3542145569797,48533.0
1713400669.56,0,0,42.0,20.46017578125,51.48593852048609,1006.6177893492375,55.364591971317935,60507.5
1713400671.63,0,0,38.0,20.4778515625,51.434814498853,1006.6185525267899,55.35820411757767,68467.0
1713400673.55,0,0,41.5,20.4778515625,51.434814498853,1006.6185525267899,55.35820411757767,68467.0
1713400675.58,0,0,48.0,20.48908203125,51.40171546195535,1006.6246017638288,55.307571727271835,74744.5
1713400677.62,0,0,45.0,20.50333984375,51.37841370115608,1006.616260973165,55.377384594145894,79999.5
1713400679.56,0,0,45.0,20.5128125,51.3639223627999,1006.622952326225,55.321377621443446,83696.5
1713400681.57,0,0,39.5,20.52140625,51.39637669705726,1006.6343599950575,55.225895470338045,86817.0
1713400683.58,0,0,39.0,20.522578125000003,51.42162547273629,1006.639791072141,55.18043761426839,90090.0
1713400685.58,0,0,53.0,20.50607421875,51.42268261855337,1006.6400670992409,55.178127289764134,92588.5
1713400687.56,0,0,53.0,20.502949218749997,51.416013107430565,1006.6340808992829,55.228231420093955,97027.0
1713400689.57,0,0,36.5,20.4915234375,51.40516052097388,1006.6391391508525,55.185894132971,99201.0
1713400691.58,0,0,37.0,20.47326171875,51.437374493614236,1006.6347821197055,55.22236222998784,101100.0
1713400693.58,0,0,37.5,20.462421875,51.583553319745874,1006.6434330892091,55.14995424554512,101596.5
1713400695.57,0,0,47.5,20.4477734375,51.7325049549592,1006.6432215793493,55.15172455550818,102507.0
1713400697.58,0,0,47.5,20.4337109375,51.90051945419909,1006.6439669568119,55.14548585857277,104058.5
1713400699.57,0,0,43.5,20.4149609375,52.06808827754827,1006.6475957671423,55.115113157822115,104290.0
1713400701.58,0,0,45.0,20.3809765625,52.173995466467645,1006.6315943153875,55.249044110058364,107100.0
1713400703.57,0,0,41.0,20.34328125,52.301548632826936,1006.618310767213,55.36022766206656,107424.5
1713400705.55,0,0,41.0,20.28732421875,52.37007922842501,1006.6164691213519,55.375642383923456,108950.5
1713400707.58,0,0,36.5,20.21095703125,52.34457748352156,1006.6163891763574,55.376311526953955,108948.0
1713400709.58,0,0,48.5,20.1298046875,52.327935584776256,1006.626908249523,55.28826647624483,109622.5
1713400711.58,0,0,46.5,20.04875,52.3617489366315,1006.6305280826193,55.25796841204553,110134.0
1713400713.57,0,0,46.0,19.947285156249997,52.38981927982729,1006.6358686227087,55.213268330099204,111033.0
1713400715.59,0,0,46.0,19.8346875,52.43539922974103,1006.6466604144231,55.12294222898372,112195.5
1713400717.54,0,0,39.0,19.8346875,52.43539922974103,1006.6466604144231,55.12294222898372,112195.5
1713400719.58,0,0,43.0,19.71037109375,52.52680579456264,1006.6663146346741,54.958439835013394,112695.0
1713400721.59,0,0,40.5,19.57052734375,52.616274060781166,1006.667510567738,54.948430135963896,113273.0
1713400723.58,0,0,40.5,19.44103515625,52.76075702939697,1006.666253071742,54.95895504323567,113930.0
1713400725.57,0,0,31.5,19.3106640625,52.965243185592826,1006.6617282560811,54.99682668083241,113600.0
1713400727.57,0,0,38.0,19.1856640625,53.19274679200028,1006.6606592038763,55.005774411919475,114408.0
1713400729.57,0,0,45.0,19.05685546875,53.429494663348066,1006.6567935995092,55.03812871641419,115153.0
1713400731.59,0,0,45.0,18.937128906250003,53.67717665407548,1006.6519450522223,55.07871021225072,114928.5
1713400733.55,0,0,45.0,18.856074218750003,53.98728167785074,1006.651620928938,55.081423092802396,115116.0
1713400735.57,0,0,39.0,18.779902343750003,54.31437459720629,1006.6522499197637,55.07615853689709,115115.5
1713400737.57,0,0,42.5,18.703046875,54.5941174095465,1006.6534870074665,55.065804295158756,115341.0
1713400739.57,0,0,42.0,18.62892578125,54.84907027653985,1006.6547945737152,55.05486019269337,115529.5
1713400741.59,0,0,35.0,18.56857421875,55.11252323048865,1006.6602292194173,55.00937327139931,115833.0
1713400743.59,0,0,35.0,18.52130859375,55.36523961042785,1006.6590434635166,55.01929786248441,115832.0
1713400745.57,0,0,47.0,18.50216796875,55.609144212978975,1006.6531001597261,55.06904217167633,116060.0
1713400747.57,0,0,41.5,18.49435546875,55.803555761160794,1006.6516932319298,55.08081795013439,116212.5
1713400749.57,0,0,36.5,18.4940625,55.96707076534703,1006.6494608083276,55.09950298568678,116327.0
1713400751.56,0,0,36.5,18.511835937500003,56.09458060433008,1006.6522888078005,55.07583303961503,116711.0
1713400753.57,0,0,45.0,18.53107421875,56.13886556118891,1006.6548863003131,55.0540924698698,116903.5
1713400755.57,0,0,41.5,18.537421875,56.14612789233337,1006.6547688610208,55.05507542554601,116710.5
1713400757.57,0,0,40.0,18.547968750000003,56.22140423301698,1006.6457562664652,55.13050959048387,117021.5
1713400759.57,0,0,43.0,18.55421875,56.31221351060238,1006.645478303872,55.13283601454036,116903.5
1713400761.58,0,0,43.0,18.5501171875,56.420988704086255,1006.6448939490253,55.137727021299014,117447.0
1713400763.58,0,0,42.0,18.54376953125,56.54883908478037,1006.6423829634242,55.158743713024094,117097.0
