Start,Length,Counts
1710975174.173854,10.000001192092896,1
1710975184.1741621,10.000001668930054,4
1710975194.1744351,10.000000715255737,2
1710975204.1747196,10.000001668930054,1
1710975214.1749995,10.000001668930054,3
1710975224.1752717,10.000001430511475,0
1710975234.17556,10.000000953674316,0
1710975244.175881,10.000001430511475,2
1710975254.1761467,10.000000953674316,6
1710975264.1764123,10.000001430511475,2
1710975274.1767201,10.000001430511475,1
1710975284.1769745,10.000001192092896,2
