Start,Length,Counts
1710974889.362697,10.000001668930054,2
1710974899.3635256,10.000001192092896,6
1710974909.36428,10.000001907348633,5
1710974919.3649988,10.000001907348633,2
1710974929.3657253,10.000000953674316,4
1710974939.366442,10.000000953674316,3
1710974949.3672154,10.000000953674316,5
1710974959.367968,10.000000953674316,2
1710974969.3687055,10.000000953674316,5
1710974979.368974,10.000001192092896,3
1710974989.3692496,10.000001668930054,4
1710974999.3695204,10.000001668930054,2
