Time,Latitude,Longitude,Temperature,Humidity,Pressure,Altitude,VOC,counts
1713401318.81,0,0,27.46779296875,76.62157154161304,866.9856028844747,1384.2463268264921,31380.0,5978.5
1713401320.83,0,0,20.580390625,53.07130700188334,1007.7759919406246,45.674865776569945,30970.0,28.5
1713401322.81,0,0,20.6727734375,52.72572899277305,1007.7811807210121,45.63147582953769,47158.5,25.5
1713401324.78,0,0,20.75021484375,52.39774448316571,1007.7715668297801,45.71186987572668,59328.5,25.5
1713401326.8,0,0,20.8159375,52.11289746195634,1007.7717788147546,45.71009718263464,67492.5,33.5
1713401328.8,0,0,20.86671875,51.87060649657413,1007.7660056566654,45.75837433927616,73959.5,23.0
1713401330.79,0,0,20.907246093749997,51.67760333224492,1007.7610427071209,45.799876258747034,78612.0,26.0
1713401332.8,0,0,20.940058593750003,51.44927032105683,1007.7663252491981,45.75570169244526,82874.5,27.5
1713401334.78,0,0,20.965546875,51.22968600598266,1007.774580465436,45.68666896973345,86739.0,27.5
1713401336.8,0,0,20.9880078125,51.04756619131177,1007.7690863854125,45.73261213586376,89819.5,28.0
1713401338.76,0,0,20.9880078125,51.04756619131177,1007.7690863854125,45.73261213586376,89819.5,31.5
1713401340.8,0,0,21.0096875,50.94066042187945,1007.7649513154166,45.76719101033052,91821.5,25.0
1713401342.78,0,0,21.0321484375,50.95601149100105,1007.7656101986405,45.761681192153866,96363.5,25.0
1713401344.79,0,0,21.05451171875,50.990146076018505,1007.7669868908837,45.75016882394384,98897.5,27.5
1713401346.8,0,0,21.07501953125,50.96453697286164,1007.7653277960594,45.7640427584797,100900.0,25.5
1713401348.8,0,0,21.09103515625,50.894528498083176,1007.7659997812406,45.75842337050349,102567.5,23.5
1713401350.79,0,0,21.10333984375,50.78965542667365,1007.7579639690348,45.82562187082675,104323.0,25.0
1713401352.85,0,0,21.11681640625,50.706878059476324,1007.7641607178568,45.77380229950473,103292.0,25.0
1713401354.8,0,0,21.13458984375,51.182101175406295,1007.7641842094295,45.77360585627742,103960.0,27.5
1713401356.8,0,0,21.143671875,51.59761606942723,1007.7570358630878,45.83338311898987,106266.0,29.5
1713401358.81,0,0,21.149140625,51.5134696734559,1007.7448596597108,45.935205944704364,108446.5,24.5
1713401360.79,0,0,21.15412109375,51.25352033750932,1007.7477227084669,45.911263754745946,108879.5,26.5
1713401362.85,0,0,21.163203125,51.00071100970263,1007.7493720591399,45.89747111942978,110202.5,26.5
1713401364.79,0,0,21.16916015625,50.78227733182489,1007.7503117938811,45.88961262056657,110202.0,30.5
1713401366.8,0,0,21.174140625,50.607747050482686,1007.755814267852,45.843598580885626,111000.5,27.5
1713401368.79,0,0,21.1805859375,50.44293612826487,1007.7557922031378,45.84378304843666,112194.5,27.5
1713401370.77,0,0,21.185859375,50.29373023858447,1007.7617735021715,45.793765084708966,112911.5,27.5
1713401372.79,0,0,21.18966796875,50.18812463416566,1007.7653600304681,45.763773194096956,113495.5,31.5
1713401374.79,0,0,21.1883984375,50.08195278873721,1007.7615247430354,45.79584528549638,114076.5,33.5
1713401376.79,0,0,21.18439453125,49.99730986809895,1007.7602586831076,45.80643255123683,114742.5,25.5
1713401378.79,0,0,21.185078125,49.913289893109926,1007.7569766145984,45.83387852371615,115491.5,32.5
1713401380.78,0,0,21.1846875,49.85719281231173,1007.7536982483584,45.86129358902082,115228.0,32.5
1713401382.8,0,0,21.185078125,49.819885619611775,1007.7534569215244,45.863311701061484,115833.0,25.5
1713401384.8,0,0,21.18556640625,49.801271312445635,1007.7472157756524,45.915502978952404,115756.0,27.5
1713401386.78,0,0,21.18556640625,49.801271312445635,1007.7472157756524,45.915502978952404,115756.0,29.5
1713401388.8,0,0,21.19123046875,49.78018763955164,1007.7423964122245,45.95580486498876,116633.5,23.5
1713401390.77,0,0,21.19484375,49.740183433429465,1007.7439036075107,45.94320095528712,116903.5,23.5
1713401392.8,0,0,21.19884765625,49.71578987184112,1007.7425295703631,45.95469131599695,117020.0,26.0
1713401394.79,0,0,21.20275390625,49.697608373191834,1007.7462754835456,45.92336614482912,116441.5,31.0
1713401396.81,0,0,21.20919921875,49.664191718237056,1007.7480124021408,45.90884122369232,117060.5,30.5
1713401398.77,0,0,21.21525390625,49.627622747848875,1007.7455907796887,45.92909200566894,117525.0,30.5
1713401400.8,0,0,21.21896484375,49.606316256477676,1007.7454973694678,45.929873120650015,117137.5,29.5
1713401402.79,0,0,21.222285156250003,49.588072711049456,1007.7456453062973,45.92863599268521,117565.0,28.0
1713401404.83,0,0,21.22453125,49.588349837969204,1007.7466770941176,45.92000769461917,117564.5,26.0
1713401406.81,0,0,21.22677734375,49.57619240252875,1007.7389090754466,45.98496777232657,118271.5,24.0
1713401408.81,0,0,21.22912109375,49.55472299632454,1007.7383404750726,45.9897227122308,118588.5,24.0
1713401410.8,0,0,21.2321484375,49.54888019129771,1007.7424092522049,45.95569752560035,118232.0,25.0
1713401412.8,0,0,21.235371093749997,49.54306181807939,1007.7362374053823,46.007309725334316,118988.0,21.0
1713401414.79,0,0,21.23908203125,49.52487201074919,1007.7405435846595,45.9712991474814,118709.0,33.5
1713401416.83,0,0,21.2407421875,49.51264633014277,1007.7414974004043,45.96332286218612,118311.0,29.0
1713401418.77,0,0,21.24357421875,49.49124415178487,1007.741726824973,45.961404311680866,114156.0,29.0
1713401420.79,0,0,21.2481640625,49.48248896085776,1007.7395495980746,45.97961140942268,114758.5,25.5
1713401422.79,0,0,21.25626953125,49.53009949044468,1007.7351988513851,46.015994694229946,115947.0,28.5
