Start,Length,Counts
1710974067.0814059,10.000001668930054,5
1710974077.0817134,10.000001430511475,12
1710974087.0819921,10.000000953674316,12
1710974097.0822458,10.000001192092896,7
1710974107.0825202,10.000001668930054,11
1710974117.0827923,10.000001430511475,10
1710974127.083068,10.000001192092896,6
1710974137.0833375,10.000001192092896,11
1710974147.0836098,10.000001668930054,9
1710974157.0843527,10.000001668930054,7
1710974167.0850914,10.000001430511475,11
1710974177.085824,10.000001668930054,9
