Time,pm25,pm10,Temperature,Pressure,Humidity,Altitude,Gas
1708558985.6798074,2,4,35.43546875,680.4278169050144,100,3235.066126130401,26428
1708558986.690798,2,4,23.641328125,1011.6653402028257,42.73892426618851,13.201737638838189,4392
1708558987.7020917,2,4,23.674140625,1011.6568137815634,42.687760939869236,13.272816189117737,6844
1708558988.7140179,2,4,23.710078125,1011.6535204275549,42.569971001161576,13.300270607394907,9522
1708558989.7261362,1,3,23.7442578125,1011.6541440305562,42.45205745811723,13.295072054224965,12134
1708558990.7377608,1,3,23.77453125,1011.6516495741195,42.352024619006,13.315866652877759,14676
1708558991.7497537,1,3,23.8020703125,1011.6514377706211,42.2395851096917,13.317632317509522,17058
1708558992.7648025,1,3,23.8286328125,1011.6513033323697,42.16354963540225,13.318753039785149,19423
1708558993.7778451,1,3,23.84953125,1011.6433897955444,42.14764742743518,13.384723144857066,21733
1708558994.78878,1,3,23.8673046875,1011.6371071616479,42.14962168887144,13.43709775081389,24180
1708558995.799542,1,3,23.88234375,1011.6365467223197,42.14521788646721,13.44176981508674,26329
1708558996.8103287,1,3,23.8954296875,1011.6344296164442,42.13452286085454,13.459418942869018,28466
1708558997.8210676,1,3,23.91125,1011.6403302179664,42.16665530190853,13.41022900211175,30488
1708558998.831823,0,3,23.9278515625,1011.6406676246286,42.30222166911087,13.407416242732833,32666
1708558999.8425534,0,3,23.9419140625,1011.6367485093582,42.425450974356515,13.440087630945904,34887
1708559000.8533006,0,3,23.9555859375,1011.6304556873615,42.46349573127673,13.492547448139918,36842
1708559001.864059,0,2,23.97140625,1011.6294802939286,42.4774395810466,13.500678793667513,38742
1708559002.8757079,0,2,23.9860546875,1011.6299760283179,42.53996636427368,13.496546114231972,40967
1708559003.886522,0,2,23.999140625,1011.6278523677488,42.59625203366165,13.514249977983289,43108
1708559004.8985262,0,2,24.0087109375,1011.6215545783374,42.63997629945314,13.56675157973456,44950
1708559005.9105003,0,2,24.0188671875,1011.6248289264518,42.64111638834172,13.539454901890025,46904
1708559006.9226475,0,2,24.0284375,1011.6288392225476,42.636096901770316,13.506023074351928,48669
1708559007.9344475,0,1,24.031953125,1011.6312941502598,42.59384013864141,13.485557626020663,50878
1708559008.9462035,0,1,24.028828125,1011.6329302071074,42.48386548417773,13.471918698124103,52995
1708559009.9575303,0,1,24.0219921875,1011.6335020624174,42.3674661474722,13.467151451517992,54970
1708559010.9699268,0,1,24.0153515625,1011.627528357469,42.26333216819018,13.516951087356864,56828
1708559011.9819882,0,1,24.0096875,1011.6214729401829,42.14114694518798,13.567432158990098,58448
1708559012.993692,0,1,24.0016796875,1011.633825482903,42.00058235782934,13.464455271849305,60553
1708559014.0056877,0,1,23.9946484375,1011.6220424244689,41.86631386178759,13.562684634781554,62582
1708559015.0165422,0,1,23.9883984375,1011.6201590677443,41.74436459689205,13.578385307410283,64109
1708559016.0272973,0,1,23.9747265625,1011.6178641714334,41.651973862757515,13.597516826932276,65867
1708559017.0379977,0,1,23.9583203125,1011.6212941487345,41.565391968508315,13.568922660139952,67725
1708559018.0487866,0,1,23.9409375,1011.614496297852,41.502956470659214,13.62559333953659,69402
1708559019.059521,0,1,23.923359375,1011.5867551520879,41.42238105383433,13.856862211977974,71044
1708559020.071495,0,1,23.9036328125,1011.5811815458475,41.35370508121245,13.903328166477221,72390
1708559021.082886,0,1,23.8782421875,1011.564396090537,41.26631604409332,14.04326614352682,73918
1708559022.0948281,0,1,23.85265625,1011.5438462843737,41.197076125350954,14.2145895434673,75579
1708559023.106824,0,2,23.8251171875,1011.5286100521678,41.10955015718271,14.34161558303029,77460
1708559024.1187823,0,2,23.7973828125,1011.5147619525341,41.0401553959729,14.457069962100237,79511
1708559025.1296237,0,2,23.772578125,1011.4834942644505,40.97111426016201,14.717759644831261,80578
1708559026.1404276,0,2,23.749921875,1011.4592619373179,40.94453820322444,14.91979754367796,82638
1708559027.151129,0,2,23.728046875,1011.4346210259764,40.90599805388492,15.1252460470415,83958
1708559028.1618514,0,2,23.703828125,1011.4026168465094,40.87324202358219,15.392093314448235,85845
1708559029.1726215,0,1,23.6801953125,1011.3698772443207,40.8706842059893,15.665079528848024,87271
1708559030.1845524,0,1,23.65734375,1011.3367297426469,40.86218628733643,15.941474141339022,89027
1708559031.1958685,0,1,23.6337109375,1011.3091414327116,40.85360527850621,16.171520004386792,90076
1708559032.2079217,0,1,23.6083203125,1011.2803236365149,40.85688428952653,16.41182339778623,91747
1708559033.2215106,0,1,23.5841015625,1011.2551862938323,40.88438979741874,16.621441065450075,93274
1708559034.2345176,0,1,23.5587109375,1011.2177826017522,40.887668986014994,16.933354345530162,94853
1708559035.2454052,1,2,23.533515625,1011.1910074793277,40.921098011498245,17.156640614504,93872
1708559036.256157,1,2,23.5091015625,1011.1586738343224,40.93050920474147,17.426287553893545,95743
1708559037.2669117,1,2,23.4880078125,1011.1250378564404,40.964387958157346,17.706802727899188,97070
1708559038.277696,1,2,23.464375,1011.0871467497536,41.00402566222962,18.0228136027358,98434
1708559039.288451,1,2,23.442109375,1011.053263891228,41.03778901141443,18.305403910176132,100433
1708559040.3004851,1,2,23.4145703125,1011.0208424407679,41.08907917214269,18.575812940113455,101832
1708559041.3122876,1,3,23.384296875,1010.9889870681783,41.140085235479724,18.841507472423366,102390
1708559042.3234768,1,3,23.3559765625,1010.9449566221195,41.15511139242483,19.208761198640765,104555
1708559043.3351092,1,3,23.32921875,1010.905261424766,41.18840999220975,19.539866132868287,105872
