Start,Length,Counts
1710976110.7374213,10.000001668930054,0
1710976120.73826,10.000001192092896,0
1710976130.7390058,10.000000953674316,1
1710976140.7397618,10.000001192092896,2
1710976150.7405202,10.000001668930054,2
1710976160.7412643,10.000001668930054,2
1710976170.742014,10.000001668930054,0
1710976180.742767,10.000000953674316,0
1710976190.7435174,10.000000953674316,0
1710976200.7443004,10.000001192092896,1
1710976210.7450976,10.000001907348633,1
1710976220.7458518,10.000000953674316,2
