counts,altitude,co2,lat,long
32.0,-26.052096821078486,509.51019287109375,37.867843,-122.2599
32.0,-25.9616508315765,597.1663208007812,37.867843,-122.2599
32.0,-25.9616508315765,742.1212768554688,37.867843,-122.2599
28.0,-25.844514860751428,768.62646484375,37.867843,-122.2599
36.0,-25.742230117100043,781.7946166992188,37.867843,-122.2599
34.0,-25.70590697809522,751.6458740234375,37.867843,-122.2599
34.0,-25.831062916046992,744.5018920898438,37.867843,-122.2599
28.5,-25.8582861073945,726.281494140625,37.867843,-122.2599
28.0,-25.88987665991864,699.1753540039062,37.867843,-122.2599
28.5,-25.889284068697236,633.6204833984375,37.867843,-122.2599
38.0,-25.897848971491637,604.6497802734375,37.867843,-122.2599
38.0,-25.9622219643781,557.9487915039062,37.867843,-122.2599
37.5,-25.979504359182428,551.2908935546875,37.867843,-122.2599
24.0,-25.99105735071347,537.1196899414062,37.867843,-122.2599
37.5,-26.028299803724497,541.7831420898438,37.867843,-122.2599
37.5,-25.982156521953446,530.9579467773438,37.867843,-122.2599
33.5,-25.930955273923296,538.1135864257812,37.867843,-122.2599
26.0,-25.983868907501424,563.1250610351562,37.867843,-122.2599
24.0,-26.025803436067118,573.7202758789062,37.867843,-122.2599
36.0,-26.038185474476904,580.07421875,37.867843,-122.2599
36.0,-26.020692097900046,591.7356567382812,37.867843,-122.2599
32.0,-26.026284142937847,591.9126586914062,37.867843,-122.2599
31.5,-26.001869226370648,584.4946899414062,37.867843,-122.2599
27.5,-26.007988076539228,570.9824829101562,37.867843,-122.2599
35.0,-26.11232273750042,560.3575439453125,37.867843,-122.2599
35.0,-26.113081728892617,541.2767944335938,37.867843,-122.2599
32.5,-26.113081728892617,517.8634643554688,37.867843,-122.2599
25.0,-26.119596873985294,497.7066040039063,37.867843,-122.2599
38.0,-26.155081695738147,517.9118041992188,37.867843,-122.2599
38.0,-26.165083236525522,582.9160766601562,37.867843,-122.2599
28.5,-26.120142002514005,776.3670654296875,37.867843,-122.2599
27.0,-26.028628276125048,635.5669555664062,37.867843,-122.2599
30.5,-25.94642185333809,658.8621826171875,37.867843,-122.2599
29.5,-25.926858002012658,716.1613159179688,37.867843,-122.2599
29.5,-25.965774032764404,660.262939453125,37.867843,-122.2599
41.0,-26.046745765296272,658.7672729492188,37.867843,-122.2599
