counts,altitude,co2,lat,long
50.0,-21.313299354058735,563.0169677734375,37.873624,-122.261236
45.5,-21.31539496996855,547.197998046875,37.873624,-122.261236
45.5,-21.221538927641035,569.4654541015625,37.873624,-122.261236
42.0,-21.190821223629086,625.6510009765625,37.873624,-122.261236
45.5,-21.222305333444375,562.8458862304688,37.873624,-122.261236
39.0,-21.194524313486212,550.0428466796875,37.873624,-122.261236
46.5,-21.218372030294475,503.73284912109375,37.873624,-122.261236
46.5,-21.218372030294475,474.1311645507813,37.873624,-122.261236
36.5,-21.288156025885435,461.8587646484375,37.873624,-122.261236
43.0,-21.375334896481938,483.4989929199219,37.873624,-122.261236
42.0,-21.399170961114386,508.5125122070313,37.873624,-122.261236
42.0,-21.456655858717596,548.44873046875,37.873624,-122.261236
47.0,-21.427975754065223,595.24169921875,37.873624,-122.261236
45.5,-21.4138271951468,677.0266723632812,37.873624,-122.261236
49.0,-21.36944295614432,681.4371337890625,37.873624,-122.261236
46.5,-21.32339285004202,650.1817626953125,37.873624,-122.261236
46.5,-21.23465909888977,632.4053344726562,37.873624,-122.261236
42.5,-21.234977525626803,627.1043701171875,37.873624,-122.261236
44.5,-21.3418499977197,605.416259765625,37.873624,-122.261236
36.0,-21.36873712009411,578.8206176757812,37.873624,-122.261236
53.5,-21.338079738984128,567.2515258789062,37.873624,-122.261236
53.5,-21.269474551239817,574.7431030273438,37.873624,-122.261236
41.0,-21.32519906186966,584.7581176757812,37.873624,-122.261236
42.0,-21.332642414099702,588.7313842773438,37.873624,-122.261236
52.0,-21.32627389326256,589.7213134765625,37.873624,-122.261236
52.0,-21.30012875446308,583.2513427734375,37.873624,-122.261236
51.0,-21.404483593947624,579.458251953125,37.873624,-122.261236
47.0,-21.40542906128286,572.7537841796875,37.873624,-122.261236
44.0,-21.356283705796393,574.2567138671875,37.873624,-122.261236
38.5,-21.34840752292979,568.9930419921875,37.873624,-122.261236
38.5,-21.39044438971218,555.7781372070312,37.873624,-122.261236
47.5,-21.39044438971218,546.7749633789062,37.873624,-122.261236
42.5,-21.399505906713266,549.9213256835938,37.873624,-122.261236
46.5,-21.352041440647255,556.10107421875,37.873624,-122.261236
43.0,-21.357150480546373,557.47900390625,37.873624,-122.261236
43.0,-21.359638862683056,559.5131225585938,37.873624,-122.261236
45.0,-21.36725157026489,553.5984497070312,37.873624,-122.261236
51.0,-21.38854598713504,549.439208984375,37.873624,-122.261236
42.0,-21.33296670771133,550.5333862304688,37.873624,-122.261236
42.0,-21.31579736472714,544.1707153320312,37.873624,-122.261236
43.5,-21.30506988896356,536.164306640625,37.873624,-122.261236
41.0,-21.243625312825372,504.9552001953125,37.873624,-122.261236
40.5,-21.14313559677086,506.9442443847656,37.873624,-122.261236
45.0,-21.244822236119262,529.590576171875,37.873624,-122.261236
45.0,-21.257258659471013,533.409423828125,37.873624,-122.261236
51.0,-21.202752507113196,533.1516723632812,37.873624,-122.261236
45.5,-21.240252279399144,551.6609497070312,37.873624,-122.261236
49.0,-21.29248388323459,551.8180541992188,37.873624,-122.261236
50.5,-21.28878638145958,568.6729736328125,37.873624,-122.261236
50.5,-21.221039795886135,579.2453002929688,37.873624,-122.261236
42.0,-21.2460323508572,590.262939453125,37.873624,-122.261236
43.0,-21.178952911173077,577.81591796875,37.873624,-122.261236
45.0,-21.133660388146716,619.6278076171875,37.873624,-122.261236
45.0,-21.183087111770213,614.2340087890625,37.873624,-122.261236
52.5,-21.22890816838015,605.1348266601562,37.873624,-122.261236
47.5,-21.22890816838015,606.7891845703125,37.873624,-122.261236
33.5,-21.253084700638084,592.0977172851562,37.873624,-122.261236
53.5,-21.25670927496764,588.5471801757812,37.873624,-122.261236
53.5,-21.25066959353616,573.7845458984375,37.873624,-122.261236
44.0,-21.247021715652266,574.4362182617188,37.873624,-122.261236
51.5,-21.2311718305724,562.96728515625,37.873624,-122.261236
50.5,-21.177172106276537,563.9321899414062,37.873624,-122.261236
50.5,-21.220544928512027,554.7664794921875,37.873624,-122.261236
49.0,-21.239328634651507,547.7841186523438,37.873624,-122.261236
47.0,-21.212126058104225,542.3955078125,37.873624,-122.261236
45.5,-21.18638046576512,529.568115234375,37.873624,-122.261236
42.0,-21.294133372533537,464.65570068359375,37.873624,-122.261236
42.0,-21.246398480624336,365.0530700683594,37.873624,-122.261236
44.5,-21.166710747309203,479.37738037109375,37.873624,-122.261236
52.0,-21.163448108577803,540.2274780273438,37.873624,-122.261236
47.5,-21.167128060367567,550.968994140625,37.873624,-122.261236
44.0,-21.140613957423533,550.5729370117188,37.873624,-122.261236
44.0,-21.134508307749854,590.2026977539062,37.873624,-122.261236
58.0,-21.15063592031992,607.21484375,37.873624,-122.261236
48.5,-21.176040230618845,604.9646606445312,37.873624,-122.261236
51.5,-21.20825463754678,610.517333984375,37.873624,-122.261236
51.5,-21.298133734204427,612.1324462890625,37.873624,-122.261236
53.5,-21.37363815482059,601.3253784179688,37.873624,-122.261236
54.0,-21.52531429552628,592.7196655273438,37.873624,-122.261236
44.5,-21.592298242896376,587.2178955078125,37.873624,-122.261236
47.0,-21.592298242896376,565.4508666992188,37.873624,-122.261236
47.0,-21.561662034166638,569.4694213867188,37.873624,-122.261236
57.5,-21.569323596183885,558.0535888671875,37.873624,-122.261236
49.5,-21.587171100100143,568.78759765625,37.873624,-122.261236
39.0,-21.534020759510234,573.4531860351562,37.873624,-122.261236
40.0,-21.438225248358556,567.9046630859375,37.873624,-122.261236
40.0,-21.4136097020088,538.6312866210938,37.873624,-122.261236
50.5,-21.350179561153702,547.26171875,37.873624,-122.261236
56.0,-21.304140009989247,nan,37.873624,-122.261236
46.5,-21.30203964668606,nan,37.873624,-122.261236
46.5,-21.33634739130654,nan,37.873624,-122.261236
45.0,-21.297494814196817,nan,37.873624,-122.261236
47.5,-21.242371951066268,nan,37.873624,-122.261236
41.5,-21.14846714415487,nan,37.873624,-122.261236
48.5,-21.07625117811883,nan,37.873624,-122.261236
48.5,-21.008396725072203,nan,37.873624,-122.261236
43.0,-20.883289086202858,nan,37.873624,-122.261236
41.0,-20.898790363090775,nan,37.873624,-122.261236
42.0,-20.858412898168133,nan,37.873624,-122.261236
48.0,-20.832749193775207,nan,37.873624,-122.261236
48.0,-20.83599754350469,nan,37.873624,-122.261236
41.5,-20.839590215003845,nan,37.873624,-122.261236
52.0,-20.84474646012856,nan,37.873624,-122.261236
37.5,-20.8301448726123,nan,37.873624,-122.261236
37.5,-20.8301448726123,nan,37.873624,-122.261236
47.5,-20.84862029315274,nan,37.873624,-122.261236
