counts,altitude,co2,lat,long
41.5,-12.999710711074854,684.3846435546875,37.869605,-122.256246
42.5,-12.080644391854875,641.7593994140625,37.869605,-122.256246
42.5,-12.080644391854875,612.6915283203125,37.869605,-122.256246
43.0,-11.530943171754942,629.9654541015625,37.869605,-122.256246
42.5,-11.170522727931782,615.1851806640625,37.869605,-122.256246
47.0,-11.059632984677293,622.2486572265625,37.869605,-122.256246
43.5,-10.96380892783958,637.56005859375,37.869605,-122.256246
43.5,-10.880682760077505,651.6629638671875,37.869605,-122.256246
44.0,-10.858665468828306,657.4813232421875,37.869605,-122.256246
39.5,-10.905516288594512,641.6155395507812,37.869605,-122.256246
40.5,-10.807757560895638,636.2035522460938,37.869605,-122.256246
40.5,-10.764963143264083,637.561279296875,37.869605,-122.256246
43.5,-10.715296294190594,617.52734375,37.869605,-122.256246
37.0,-10.676195088638892,622.73828125,37.869605,-122.256246
39.0,-10.76635084312953,626.5922241210938,37.869605,-122.256246
39.5,-10.755257626222104,620.5044555664062,37.869605,-122.256246
39.5,-10.74234248344031,622.1127319335938,37.869605,-122.256246
37.0,-10.739809335045209,606.2582397460938,37.869605,-122.256246
39.0,-10.787079239610662,600.3961791992188,37.869605,-122.256246
36.0,-10.868524088093196,598.5764770507812,37.869605,-122.256246
47.0,-10.847976171470776,599.1474609375,37.869605,-122.256246
47.0,-10.790539596293215,598.9013061523438,37.869605,-122.256246
41.5,-10.740189831219027,604.2509765625,37.869605,-122.256246
39.0,-10.699258992237858,603.5380249023438,37.869605,-122.256246
39.0,-10.742190725441858,604.8091430664062,37.869605,-122.256246
39.0,-10.715347996722429,606.6781616210938,37.869605,-122.256246
37.0,-10.781452774868498,607.2214965820312,37.869605,-122.256246
35.5,-10.688793304303331,611.203369140625,37.869605,-122.256246
49.5,-10.688793304303331,616.5795288085938,37.869605,-122.256246
38.5,-10.664604610705979,615.766357421875,37.869605,-122.256246
38.5,-10.6640904147893,609.5021362304688,37.869605,-122.256246
33.5,-10.697056360102962,603.8298950195312,37.869605,-122.256246
38.0,-10.623066713378279,607.5761108398438,37.869605,-122.256246
41.5,-10.623611386103576,608.14794921875,37.869605,-122.256246
41.5,-10.654671662257144,609.43212890625,37.869605,-122.256246
35.0,-10.662891413546177,605.463134765625,37.869605,-122.256246
43.0,-10.642143955446457,599.4139404296875,37.869605,-122.256246
40.5,-10.624309061216763,592.7570190429688,37.869605,-122.256246
36.0,-10.59204893816785,593.9307861328125,37.869605,-122.256246
36.0,-10.587208668120141,590.4708862304688,37.869605,-122.256246
42.0,-10.573984463243193,575.8310546875,37.869605,-122.256246
40.5,-10.541889652812856,577.3815307617188,37.869605,-122.256246
45.5,-10.591324725935365,578.068115234375,37.869605,-122.256246
42.0,-10.556427302001154,572.1514282226562,37.869605,-122.256246
42.0,-10.4755722959668,567.5979614257812,37.869605,-122.256246
36.0,-10.431122859671532,563.1070556640625,37.869605,-122.256246
50.0,-10.433653451403842,570.7880859375,37.869605,-122.256246
43.0,-10.504289148569072,571.044189453125,37.869605,-122.256246
43.0,-10.592640545223034,581.3992919921875,37.869605,-122.256246
30.5,-10.62104353882286,625.7620239257812,37.869605,-122.256246
38.5,-10.621418144050452,642.7863159179688,37.869605,-122.256246
47.5,-10.724587370480052,596.9015502929688,37.869605,-122.256246
35.5,-10.724587370480052,655.3223266601562,37.869605,-122.256246
35.5,-10.65854107344073,752.6366577148438,37.869605,-122.256246
41.0,-10.646940876201782,722.7179565429688,37.869605,-122.256246
33.0,-10.597743606576017,709.9420776367188,37.869605,-122.256246
35.5,-10.626386246959058,701.507080078125,37.869605,-122.256246
35.5,-10.643809893255167,758.5140380859375,37.869605,-122.256246
40.5,-10.638159740553178,713.4887084960938,37.869605,-122.256246
34.5,-10.634939303692931,666.0797119140625,37.869605,-122.256246
36.0,-10.554805784079647,600.0731811523438,37.869605,-122.256246
