counts,altitude,co2,lat,long
34.0,-8.509841223416757,617.2586059570312,37.872411,-122.255545
37.0,-7.568112350216225,530.1119384765625,37.872411,-122.255545
40.0,-6.814195744378409,455.2864990234375,37.872411,-122.255545
41.5,-6.353139844254045,512.5719604492188,37.872411,-122.255545
41.5,-6.216634395317726,482.1858825683594,37.872411,-122.255545
41.5,-6.082542000343963,546.5848999023438,37.872411,-122.255545
35.5,-6.013959499942729,534.2027587890625,37.872411,-122.255545
41.5,-5.91233039509909,553.3833618164062,37.872411,-122.255545
36.0,-6.004528866062046,519.3016357421875,37.872411,-122.255545
36.0,-5.998658360107029,378.94244384765625,37.872411,-122.255545
45.0,-5.921571454498817,282.43951416015625,37.872411,-122.255545
38.5,-5.8728546574821365,444.2051086425781,37.872411,-122.255545
43.5,-5.809449245228663,430.3069458007813,37.872411,-122.255545
43.5,-5.769936276725531,556.6143798828125,37.872411,-122.255545
39.0,-5.637179185991059,451.0850524902344,37.872411,-122.255545
33.5,-5.654611497847597,428.7838134765625,37.872411,-122.255545
42.5,-5.627907367828087,494.96490478515625,37.872411,-122.255545
33.0,-5.616739518653603,523.36279296875,37.872411,-122.255545
33.0,-5.537882308633911,479.3707885742188,37.872411,-122.255545
37.5,-5.524930967745448,475.59759521484375,37.872411,-122.255545
33.5,-5.567089618515141,514.9674682617188,37.872411,-122.255545
40.5,-5.567089618515141,396.0867919921875,37.872411,-122.255545
40.0,-5.438782685146364,420.74658203125,37.872411,-122.255545
40.0,-5.399671329418126,505.0399475097656,37.872411,-122.255545
33.5,-5.45973287590833,506.3378601074219,37.872411,-122.255545
33.5,-5.447494308962703,525.5088500976562,37.872411,-122.255545
44.0,-5.472941767102341,553.0806884765625,37.872411,-122.255545
44.0,-5.414711635108958,556.6072387695312,37.872411,-122.255545
35.5,-5.402026609148791,557.4156494140625,37.872411,-122.255545
40.0,-5.364771679157727,512.24267578125,37.872411,-122.255545
33.0,-5.367791184855193,521.8355712890625,37.872411,-122.255545
35.0,-5.364040326035493,520.9244384765625,37.872411,-122.255545
35.0,-5.330333490469741,507.4649963378906,37.872411,-122.255545
44.5,-5.440058841771133,495.7429809570313,37.872411,-122.255545
39.5,-5.498835606620432,518.9074096679688,37.872411,-122.255545
42.0,-5.4904826059732414,560.624267578125,37.872411,-122.255545
42.0,-5.4199740079244805,571.9818115234375,37.872411,-122.255545
40.0,-5.426379801321602,552.3843994140625,37.872411,-122.255545
33.0,-5.4047807350894885,542.6857299804688,37.872411,-122.255545
44.0,-5.347787382401108,537.9898681640625,37.872411,-122.255545
37.0,-5.332404846704819,538.1394653320312,37.872411,-122.255545
37.0,-5.356679995296403,534.705078125,37.872411,-122.255545
