counts,altitude,co2,lat,long
50.0,-23.868503217528158,566.7512817382812,37.86985,-122.259596
54.0,-23.944935868583087,597.4861450195312,37.86985,-122.259596
54.0,-23.98727472639388,596.075927734375,37.86985,-122.259596
50.0,-23.98727472639388,571.673095703125,37.86985,-122.259596
44.5,-24.07757191728396,546.882568359375,37.86985,-122.259596
43.0,-24.100421173348558,556.6441650390625,37.86985,-122.259596
43.0,-24.059113606780357,560.9190673828125,37.86985,-122.259596
59.0,-23.33943546675219,569.8455200195312,37.86985,-122.259596
56.0,-22.81930929990989,546.3108520507812,37.86985,-122.259596
47.0,-22.262701922867826,543.34716796875,37.86985,-122.259596
50.0,-21.833549899910203,555.3433227539062,37.86985,-122.259596
50.0,-21.61229431217837,560.8412475585938,37.86985,-122.259596
45.5,-21.422581883982858,557.8056030273438,37.86985,-122.259596
54.5,-21.333942474305324,546.9785766601562,37.86985,-122.259596
51.0,-21.273369009030496,549.5262451171875,37.86985,-122.259596
51.0,-21.28366456729743,540.5409545898438,37.86985,-122.259596
48.0,-20.817676360213326,531.69140625,37.86985,-122.259596
56.0,-20.20962616025966,532.5089111328125,37.86985,-122.259596
52.0,-19.917464774506193,532.3342895507812,37.86985,-122.259596
53.5,-19.763022128049755,533.1475219726562,37.86985,-122.259596
53.5,-19.651947071754428,526.9437255859375,37.86985,-122.259596
49.0,-19.5096062985423,533.9867553710938,37.86985,-122.259596
47.5,-19.499293464928762,528.7484741210938,37.86985,-122.259596
52.0,-19.53576573620417,507.5461730957031,37.86985,-122.259596
55.5,-19.605269669978732,512.8679809570312,37.86985,-122.259596
55.5,-19.706979143632196,503.4484252929688,37.86985,-122.259596
42.5,-19.834547391161557,505.4358215332031,37.86985,-122.259596
45.5,-19.891337920548686,531.6688232421875,37.86985,-122.259596
46.0,-19.891337920548686,531.7495727539062,37.86985,-122.259596
46.0,-19.94261588445255,531.713623046875,37.86985,-122.259596
67.5,-19.884197502412853,528.1270141601562,37.86985,-122.259596
46.5,-19.821897861175167,538.93798828125,37.86985,-122.259596
44.5,-19.816022929506254,559.925537109375,37.86985,-122.259596
50.0,-19.912557907056232,557.313720703125,37.86985,-122.259596
50.0,-20.048431630667956,558.1812133789062,37.86985,-122.259596
59.5,-20.038120882425453,549.2645263671875,37.86985,-122.259596
56.5,-19.990128100400007,548.3187866210938,37.86985,-122.259596
47.5,-19.99142745708486,555.1547241210938,37.86985,-122.259596
50.0,-19.88645471648244,567.7650756835938,37.86985,-122.259596
50.0,-19.87730268006434,575.5462036132812,37.86985,-122.259596
49.5,-19.853396814673566,574.7827758789062,37.86985,-122.259596
47.5,-19.830570458231286,580.3225708007812,37.86985,-122.259596
47.0,-19.76576876791807,574.1740112304688,37.86985,-122.259596
47.0,-19.766246026456677,568.4364013671875,37.86985,-122.259596
57.0,-19.75214029184898,570.95166015625,37.86985,-122.259596
50.5,-19.767569448990606,570.3485717773438,37.86985,-122.259596
54.5,-19.733561676267563,556.500732421875,37.86985,-122.259596
47.0,-19.756694794233695,564.2266845703125,37.86985,-122.259596
47.0,-20.698601722047236,557.93896484375,37.86985,-122.259596
52.0,-20.4275284335054,565.3126220703125,37.86985,-122.259596
50.0,-20.243851296874077,576.1698608398438,37.86985,-122.259596
47.0,-20.177599174068057,586.1871337890625,37.86985,-122.259596
51.0,-20.177599174068057,587.5098266601562,37.86985,-122.259596
51.0,-20.13259692192426,576.871337890625,37.86985,-122.259596
53.0,-20.033731972052216,572.2671508789062,37.86985,-122.259596
55.0,-19.953887847361962,548.6905517578125,37.86985,-122.259596
48.5,-19.758892419126063,510.8653259277344,37.86985,-122.259596
48.5,-19.760349045722045,471.129150390625,37.86985,-122.259596
57.5,-19.80678206635114,439.396728515625,37.86985,-122.259596
46.0,-19.838311795050977,654.2154541015625,37.86985,-122.259596
38.0,-19.74213941406763,670.9964599609375,37.86985,-122.259596
45.0,-19.69472751443994,1032.6268310546875,37.86985,-122.259596
45.0,-19.727085785562444,1147.47705078125,37.86985,-122.259596
61.0,-19.90052281499478,1012.3367919921876,37.86985,-122.259596
47.5,-20.07136177671719,764.1165771484375,37.86985,-122.259596
48.5,-20.338883329229624,755.34912109375,37.86985,-122.259596
48.0,-20.329978168554355,648.1656494140625,37.86985,-122.259596
48.0,-20.145138579626597,629.206298828125,37.86985,-122.259596
62.5,-19.95473700098716,406.8427429199219,37.86985,-122.259596
49.0,-19.858338445189524,543.0101318359375,37.86985,-122.259596
44.5,-19.91198787157873,486.8847961425781,37.86985,-122.259596
44.5,-20.179001323535218,504.6251525878906,37.86985,-122.259596
50.0,-20.301979740887646,472.9387817382813,37.86985,-122.259596
54.5,-20.711969567433634,352.1659851074219,37.86985,-122.259596
48.5,-19.697544062527662,359.0744934082031,37.86985,-122.259596
43.0,-19.145251993231298,357.893798828125,37.86985,-122.259596
43.0,-19.145251993231298,375.76171875,37.86985,-122.259596
42.0,-18.832392897011005,383.3885498046875,37.86985,-122.259596
48.0,-18.683519001376823,381.2003173828125,37.86985,-122.259596
47.0,-18.651573023099225,355.54364013671875,37.86985,-122.259596
47.0,-19.785744237905398,394.8248291015625,37.86985,-122.259596
47.5,-21.032818104364537,250.21424865722656,37.86985,-122.259596
53.5,-21.6980475122326,379.83245849609375,37.86985,-122.259596
47.5,-22.00225397551717,506.9213562011719,37.86985,-122.259596
46.5,-22.18491483432826,535.05224609375,37.86985,-122.259596
46.5,-22.238850513243584,411.8234252929688,37.86985,-122.259596
52.0,-22.277553310528127,617.6006469726562,37.86985,-122.259596
50.0,-22.39716514568501,775.9431762695312,37.86985,-122.259596
47.5,-22.47933963799928,nan,37.86985,-122.259596
48.0,-22.550574738093168,nan,37.86985,-122.259596
48.0,-22.596427953548726,nan,37.86985,-122.259596
55.5,-22.644815275392446,nan,37.86985,-122.259596
50.0,-22.484702411353325,nan,37.86985,-122.259596
49.5,-22.463713832632628,nan,37.86985,-122.259596
49.5,-22.423580815689697,nan,37.86985,-122.259596
40.5,-22.291855300738725,nan,37.86985,-122.259596
52.5,-22.273513326819845,nan,37.86985,-122.259596
46.5,-22.309186961479917,nan,37.86985,-122.259596
49.0,-22.26206499462699,nan,37.86985,-122.259596
49.0,-22.042318993511287,nan,37.86985,-122.259596
53.0,-22.042318993511287,nan,37.86985,-122.259596
53.5,-21.897220486757867,nan,37.86985,-122.259596
