counts,altitude,co2,lat,long
34.5,11.250201270541382,431.2516174316406,37.873848,-122.256786
33.0,5.5481750645473795,469.1423034667969,37.873848,-122.256786
33.0,2.327230824536386,445.64447021484375,37.873848,-122.256786
34.0,0.5137878230202517,468.89849853515625,37.873848,-122.256786
43.5,-0.47816583462662265,453.8528137207031,37.873848,-122.256786
37.5,-1.0365983842094266,462.8370361328125,37.873848,-122.256786
37.5,-1.3922391645640033,459.087646484375,37.873848,-122.256786
42.0,-1.4679676652231137,434.7225341796875,37.873848,-122.256786
42.5,-1.5337319914412006,424.0966796875,37.873848,-122.256786
42.5,-1.6263784430109212,427.3408203125,37.873848,-122.256786
43.5,-1.6339349654235775,450.963623046875,37.873848,-122.256786
43.5,-1.6314121854640433,468.74066162109375,37.873848,-122.256786
45.5,-1.6738633157172984,472.8167419433594,37.873848,-122.256786
35.5,-1.681993482386801,496.0331726074219,37.873848,-122.256786
46.0,-1.6386143505156099,537.585205078125,37.873848,-122.256786
44.0,-1.5599677980641928,622.465087890625,37.873848,-122.256786
44.0,-1.4770447998244691,711.0455932617188,37.873848,-122.256786
43.0,-1.4769296624265706,566.8798828125,37.873848,-122.256786
43.0,-1.570165204800091,551.2660522460938,37.873848,-122.256786
43.5,-1.6135886399825523,579.4141845703125,37.873848,-122.256786
43.5,-1.6383596301481873,627.2986450195312,37.873848,-122.256786
43.5,-1.5452379589852683,611.5982666015625,37.873848,-122.256786
46.0,-1.5289806854288912,606.8587036132812,37.873848,-122.256786
34.0,-1.5289806854288912,568.4487915039062,37.873848,-122.256786
40.0,-1.5839557798454678,502.8299865722656,37.873848,-122.256786
40.0,-1.6253878458499287,531.8508911132812,37.873848,-122.256786
47.0,-1.5935360914055963,511.8140258789063,37.873848,-122.256786
43.0,-1.6647556240357488,511.2648315429688,37.873848,-122.256786
45.5,-1.633585802678411,509.2863159179688,37.873848,-122.256786
47.5,-1.5418860233497043,510.7756958007813,37.873848,-122.256786
47.5,-1.547190874966006,540.7380981445312,37.873848,-122.256786
47.0,-1.5017432280511258,546.283203125,37.873848,-122.256786
38.5,-1.4255887328739334,531.5924072265625,37.873848,-122.256786
40.0,-1.4257120076712084,544.8872680664062,37.873848,-122.256786
48.0,-1.4162718766512512,557.235107421875,37.873848,-122.256786
48.0,-1.469975951886994,572.4310913085938,37.873848,-122.256786
46.5,-1.4494989103433653,573.3848876953125,37.873848,-122.256786
37.5,-1.3881593114159472,581.719970703125,37.873848,-122.256786
40.0,-1.3963214659269596,588.2178344726562,37.873848,-122.256786
40.0,-1.4497942484531592,589.802490234375,37.873848,-122.256786
41.5,-1.4841460172503673,586.1873168945312,37.873848,-122.256786
48.0,-1.4272635283215465,587.4795532226562,37.873848,-122.256786
35.0,-1.4268132964974996,582.93359375,37.873848,-122.256786
49.0,-1.4161248990603923,575.6806640625,37.873848,-122.256786
49.0,-1.4289544802596055,574.5584106445312,37.873848,-122.256786
47.5,-1.4531466721607131,577.2506103515625,37.873848,-122.256786
39.5,-1.4792991151123118,571.6410522460938,37.873848,-122.256786
47.5,-1.4792991151123118,570.869873046875,37.873848,-122.256786
45.0,-1.4431490392542372,572.4883422851562,37.873848,-122.256786
45.0,-1.4334476774340175,561.7607421875,37.873848,-122.256786
45.5,-1.512771782242126,564.5570068359375,37.873848,-122.256786
40.5,-1.575948442571672,565.9794311523438,37.873848,-122.256786
42.0,-1.5504575432382381,567.8157958984375,37.873848,-122.256786
42.0,-1.588060174777894,567.414306640625,37.873848,-122.256786
45.5,-1.6160628735679978,564.2057495117188,37.873848,-122.256786
36.5,-1.566522615965681,563.6306762695312,37.873848,-122.256786
45.0,-1.535388402873778,562.4119873046875,37.873848,-122.256786
34.0,-1.4716598892708106,557.4393310546875,37.873848,-122.256786
34.0,-1.4798970527151454,557.8683471679688,37.873848,-122.256786
50.5,-1.5713625051342603,553.86328125,37.873848,-122.256786
41.5,-1.6863038871446037,552.8629150390625,37.873848,-122.256786
40.5,-1.661245577148179,551.3123779296875,37.873848,-122.256786
40.5,-1.5459880395850831,553.939208984375,37.873848,-122.256786
40.5,-1.5138407068018154,562.0042114257812,37.873848,-122.256786
41.5,-1.4889295027668084,575.9478149414062,37.873848,-122.256786
37.5,-1.4629402682449353,574.749267578125,37.873848,-122.256786
41.0,-1.485327307458121,576.4804077148438,37.873848,-122.256786
41.0,-1.5886839994009705,577.820068359375,37.873848,-122.256786
43.5,-1.654719970936,574.2124633789062,37.873848,-122.256786
40.0,-1.6526643706675657,572.5745849609375,37.873848,-122.256786
42.0,-1.6443879224668336,573.3373413085938,37.873848,-122.256786
44.5,-1.6478348471267878,568.9157104492188,37.873848,-122.256786
44.5,-1.6478348471267878,561.7969970703125,37.873848,-122.256786
39.0,-1.6684780845767904,567.1553344726562,37.873848,-122.256786
37.5,-1.606106000527916,575.1849365234375,37.873848,-122.256786
32.0,-1.6349843007154874,585.9671630859375,37.873848,-122.256786
32.0,-1.6015513366993588,597.5218505859375,37.873848,-122.256786
38.0,-1.6020833481767482,652.6041259765625,37.873848,-122.256786
37.5,-1.6077832002428494,712.4500732421875,37.873848,-122.256786
38.5,-1.5640302092319303,640.9946899414062,37.873848,-122.256786
36.5,-1.5662560383582758,539.34130859375,37.873848,-122.256786
36.5,-1.5583155971551577,685.5478515625,37.873848,-122.256786
47.0,-1.5425885965119193,605.123046875,37.873848,-122.256786
45.5,-1.6417734901139767,592.8671875,37.873848,-122.256786
36.0,-1.6696656386369142,573.75390625,37.873848,-122.256786
36.0,-1.6838961811777722,545.399658203125,37.873848,-122.256786
39.0,-1.7081523907900902,531.7001342773438,37.873848,-122.256786
44.5,-1.6602881171866244,524.3005981445312,37.873848,-122.256786
